"시점",전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국
"시점",총지수,생활물가지수,식품,쌀,라면,두부,빵,떡,국산쇠고기,수입쇠고기,돼지고기,닭고기,햄및베이컨,고등어,오징어,조개,어묵,우유,발효유,달걀,참기름,식용유,사과,포도,귤,수박,바나나,배추,상추,시금치,깻잎,부추,무,당근,감자,콩나물,버섯,오이,풋고추,호박,토마토,파,양파,마늘,사탕,아이스크림,비스킷,스낵과자,파이,소금,간장,즉석식품,편의점도시락,커피,주스,생수,탄산음료,소주,맥주,김치찌개백반,된장찌개백반,비빔밥,해장국,돼지갈비(외식),삼겹살(외식),칼국수,자장면,짬뽕,김밥,떡볶이,치킨,햄버거,피자,커피(외식),소주(외식),맥주(외식),구내식당식사비,식품 이외,담배,남자하의,남자내의,여자하의,여자내의,티셔츠,유아동복,양말,운동화,상수도료,하수도료,공동주택관리비,쓰레기봉투료,전기료,도시가스,부엌용용구,세탁세제,섬유유연제,부엌용세제,소염진통제,조제약,생리대,외래진료비,한방진료비,치과진료비,휘발유,경유,도시철도료,시내버스료,택시료,휴대전화료,인터넷이용료,장난감,영화관람료,온라인콘텐츠이용료,방송수신료,유치원납입금,전문대학납입금,사립대학교납입금,초등학생학원비,중학생학원비,고등학생학원비,가정학습지,목욕료,이발료,미용료,치약,샴푸,화장지,기초화장품,자동차보험료,전월세,생활물가 이외,전·월세포함 생활물가지수
"2011.01",88.288,90.440,81.745,70.056,87.643,88.782,66.138,80.075,73.793,75.543,80.954,101.664,89.622,112.403,48.776,61.120,69.222,75.987,80.971,85.937,82.970,102.036,95.599,98.312,75.376,112.391,58.717,98.562,51.447,71.706,84.080,122.903,88.130,68.033,108.258,78.406,104.394,72.799,68.353,87.527,97.187,145.736,82.378,117.735,76.916,79.722,72.815,74.201,81.079,62.136,67.562,77.278,-,93.297,98.008,80.618,65.242,76.817,86.060,79.609,78.308,79.348,79.463,75.891,74.333,78.833,77.011,73.094,67.130,71.875,84.785,90.548,92.436,86.375,75.002,78.641,72.568,95.306,54.618,80.960,85.626,77.664,86.144,81.909,82.367,93.886,87.340,87.918,42.029,66.267,85.917,106.617,114.460,75.294,124.824,110.015,90.796,77.312,129.937,84.612,84.105,82.045,96.006,131.464,135.726,75.205,74.381,73.745,114.088,99.920,93.207,77.470,92.749,99.819,128.267,104.597,104.508,80.650,78.199,74.078,93.091,72.460,85.842,75.499,86.501,128.819,100.710,90.920,92.652,83.392,86.355,89.345
"2011.02",88.892,91.321,83.554,71.020,87.466,89.007,67.507,80.153,73.869,80.875,95.926,112.938,89.711,108.911,50.331,60.744,70.561,75.987,80.971,89.797,80.420,102.139,97.446,98.312,73.684,112.391,63.922,111.735,52.386,77.203,78.911,147.332,77.861,68.363,117.523,79.978,104.290,81.033,72.717,99.075,85.029,151.817,95.946,118.472,77.069,80.109,72.598,73.907,81.079,62.375,67.626,77.553,-,93.110,98.567,80.618,66.510,76.583,85.975,80.767,79.765,80.439,80.714,80.363,79.807,79.829,79.254,75.223,67.923,73.006,84.615,91.869,92.436,87.145,75.002,78.719,72.855,95.679,54.618,80.960,87.504,77.664,86.231,81.909,82.367,94.258,87.429,88.178,42.197,68.923,85.917,106.617,114.460,80.476,123.516,110.672,90.978,77.618,129.937,84.287,84.105,82.045,96.101,133.314,138.627,75.205,74.381,73.745,114.088,99.920,93.207,77.470,92.749,99.918,128.267,104.597,104.508,80.571,78.430,74.369,93.091,73.100,86.013,76.081,83.628,129.599,101.002,90.831,92.835,83.638,86.779,90.130
"2011.03",89.238,91.674,83.240,72.878,87.555,89.081,67.572,80.622,72.194,80.044,89.762,121.240,94.273,104.688,51.009,60.118,70.984,75.910,80.971,89.952,81.615,104.310,95.840,98.312,77.590,112.391,68.850,119.841,51.682,49.309,70.365,103.631,80.254,69.680,116.604,80.576,100.869,82.649,95.985,93.759,87.943,133.039,97.295,119.668,84.242,80.265,76.491,73.246,80.999,63.513,66.918,75.425,-,93.297,99.032,80.857,67.081,76.583,85.975,81.769,81.299,81.842,83.296,81.756,80.887,81.284,79.852,75.791,68.649,73.572,84.785,91.869,92.436,87.059,75.002,79.110,74.436,96.332,54.618,80.960,89.952,77.664,86.317,81.909,82.367,94.630,87.429,88.178,42.197,68.146,85.917,106.617,114.460,85.171,126.847,124.560,91.976,77.771,129.937,84.450,84.105,82.045,96.101,138.863,146.322,75.205,74.381,73.745,114.088,99.920,93.300,77.470,92.749,100.117,131.823,105.539,106.907,82.629,79.277,75.676,93.091,74.238,86.609,77.392,85.631,129.990,100.613,90.920,92.744,84.131,87.118,90.567
"2011.04",89.325,91.585,82.846,75.355,88.087,89.606,67.833,81.170,68.919,78.936,89.541,123.597,94.541,108.911,50.969,62.247,71.054,75.834,80.971,94.430,80.500,105.241,97.205,98.312,77.590,112.391,74.263,93.496,49.571,36.427,59.896,81.907,82.946,74.356,113.433,81.250,104.602,63.565,62.940,69.380,81.114,88.657,79.530,120.313,84.318,81.117,78.511,72.952,81.322,64.829,66.145,78.376,-,92.271,98.940,81.337,67.018,76.505,85.975,82.386,82.143,82.154,84.000,82.636,81.679,81.591,79.927,76.145,68.848,73.997,84.868,91.869,92.436,87.231,75.002,79.188,75.082,96.425,54.618,80.960,91.422,77.664,86.403,81.909,82.367,94.908,87.165,88.178,42.197,67.239,85.917,106.617,114.460,87.731,123.516,104.110,91.976,78.076,129.937,84.287,84.105,82.045,96.291,138.740,148.088,75.205,74.381,73.745,114.088,99.920,93.393,77.470,92.749,100.018,131.823,105.539,106.907,82.550,79.586,76.402,93.091,74.735,87.034,77.611,85.631,130.250,97.791,90.831,92.470,84.543,87.204,90.567
"2011.05",89.497,91.497,82.217,75.492,87.998,89.606,67.898,82.030,67.624,76.859,93.284,110.171,94.363,111.186,50.930,62.310,70.914,77.837,80.971,93.735,81.217,107.515,97.205,98.312,77.590,117.512,75.582,40.070,50.431,40.858,56.716,65.763,74.871,78.506,90.646,81.474,102.010,60.255,58.173,62.873,67.289,59.745,59.441,116.262,86.913,85.378,82.044,77.139,81.404,67.882,65.501,78.033,-,99.548,101.364,81.337,69.934,76.349,85.975,82.386,82.143,82.466,84.312,83.515,82.472,81.897,80.226,76.358,69.310,74.280,84.868,93.983,92.436,87.658,75.002,79.267,75.586,96.612,55.656,81.516,92.156,77.976,86.661,82.968,84.469,95.557,87.165,88.178,42.280,66.527,85.917,106.617,119.723,87.975,129.346,126.529,92.430,78.382,129.937,84.205,83.691,82.045,96.387,137.384,145.691,75.205,74.381,73.745,114.088,99.920,93.393,77.470,92.749,100.018,131.823,105.539,106.907,82.550,79.662,76.548,93.091,75.020,87.205,78.266,87.022,129.990,101.392,90.653,92.470,84.953,87.628,90.479
"2011.06",89.670,91.585,82.767,76.800,88.263,89.306,68.550,82.108,65.949,76.028,109.138,97.360,97.761,98.922,52.166,62.059,71.054,77.837,80.971,93.889,81.775,106.171,97.205,98.312,77.590,114.403,73.778,32.700,47.616,44.222,53.734,54.943,57.225,78.769,68.360,82.447,102.839,57.408,67.707,69.930,62.126,55.051,53.745,111.568,88.286,87.779,81.971,81.768,81.404,70.516,65.179,79.886,-,101.320,102.577,81.417,70.568,76.505,85.975,82.386,82.219,82.622,84.469,84.322,84.200,82.127,80.151,76.429,69.443,74.492,85.038,93.983,92.436,87.658,75.002,79.501,75.729,96.519,55.656,81.516,93.136,77.976,86.747,82.968,84.469,95.743,87.165,88.178,43.582,66.009,85.917,106.617,119.723,88.402,127.324,123.576,92.066,78.764,127.096,87.626,83.691,82.045,96.387,135.286,142.412,75.205,74.381,73.745,114.088,99.920,93.393,77.548,92.749,100.018,131.823,105.539,106.907,82.550,79.586,76.621,94.022,74.948,87.376,78.703,87.893,130.120,101.002,90.653,92.470,85.364,87.883,90.654
"2011.07",90.102,92.115,83.633,76.937,87.909,89.381,70.833,82.264,65.492,75.266,108.697,105.969,98.745,102.657,52.046,63.938,71.407,77.837,80.971,90.260,82.970,108.859,97.205,98.312,77.590,104.801,71.071,53.518,88.274,77.039,62.480,61.959,65.001,78.900,60.681,82.746,107.815,75.800,79.342,99.808,62.543,55.264,59.441,111.476,88.286,86.927,83.485,81.621,81.484,77.221,75.549,81.739,-,101.227,102.762,89.159,70.632,76.271,86.060,82.540,82.680,83.011,84.625,84.616,84.777,82.280,80.226,76.500,69.376,74.563,85.122,93.983,89.968,87.658,75.002,79.736,76.017,96.799,55.656,81.516,93.788,77.976,86.919,82.968,84.469,95.837,89.276,88.526,44.674,65.685,85.917,106.617,119.723,88.768,119.232,128.279,93.700,78.917,126.579,88.032,83.691,82.045,96.577,138.493,145.944,75.731,75.833,73.745,114.088,99.920,93.393,77.548,92.749,100.117,131.823,105.539,106.907,82.550,79.662,76.402,94.022,75.233,87.376,78.776,88.154,129.860,101.781,91.009,92.470,85.610,88.392,91.090
"2011.08",90.707,92.907,85.600,76.387,87.998,89.231,71.160,82.499,65.797,75.890,100.550,106.686,99.103,97.053,51.528,64.752,71.336,77.914,80.971,94.584,80.021,112.684,97.205,147.999,77.590,117.147,65.379,117.169,114.624,124.706,73.943,79.033,149.143,84.103,67.358,82.522,111.962,78.417,82.897,114.472,81.447,67.746,63.489,105.400,88.362,86.230,83.485,81.474,81.484,85.721,80.186,81.396,-,101.414,103.043,89.558,70.632,76.271,86.146,82.694,82.833,83.401,84.860,85.496,85.353,82.740,80.300,76.500,69.376,74.421,85.376,93.983,93.808,87.658,75.002,79.814,76.305,97.079,55.656,81.516,94.850,77.976,87.006,82.968,84.469,96.394,89.187,88.873,44.674,66.203,85.917,108.724,119.723,89.195,122.326,122.591,94.062,79.146,126.579,88.521,83.691,82.045,96.958,140.220,147.331,75.731,75.905,73.745,114.088,99.920,89.941,77.702,92.749,100.217,131.823,105.539,106.907,82.470,79.739,76.548,94.022,75.731,87.716,78.848,87.284,129.730,98.278,91.009,92.470,85.939,88.563,91.876
"2011.09",90.620,92.819,85.600,76.731,88.263,89.231,71.290,82.499,68.081,77.204,96.440,103.920,99.013,98.435,51.528,64.940,71.336,77.914,80.971,96.283,76.674,111.443,102.583,106.513,77.590,117.147,63.644,104.181,82.254,107.395,76.460,68.130,140.271,105.113,77.292,82.596,118.803,63.718,77.807,87.068,100.518,84.497,66.488,101.626,88.438,86.772,83.629,81.621,81.242,89.492,82.697,82.357,-,101.414,103.229,89.718,70.695,76.349,86.233,83.080,83.217,83.635,85.251,85.496,85.209,82.970,80.599,76.571,69.508,74.492,85.376,93.983,93.808,87.744,75.002,79.970,77.382,96.892,55.656,81.516,94.850,77.976,87.006,82.968,84.469,96.765,89.187,89.047,44.674,66.009,85.917,108.724,119.723,90.048,123.516,127.185,94.062,79.452,126.579,88.603,83.773,82.045,97.244,140.467,146.574,75.731,75.905,73.745,111.210,99.920,92.740,77.702,92.749,100.217,131.823,105.225,106.803,82.470,79.893,76.548,94.022,76.371,88.057,78.921,88.154,131.031,106.645,91.009,92.470,86.268,88.477,91.788
