"시점",전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국,전국
"시점",총지수,생활물가지수,식품,쌀,국수,라면,두부,빵,떡,국산쇠고기,수입쇠고기,돼지고기,닭고기,햄및베이컨,기타육류가공품,고등어,오징어,조개,어묵,우유,발효유,달걀,참기름,식용유,사과,포도,귤,수박,바나나,배추,상추,시금치,깻잎,부추,무,당근,감자,콩나물,버섯,오이,풋고추,호박,토마토,파,양파,마늘,김,사탕,아이스크림,비스킷,스낵과자,파이,소금,간장,밑반찬,냉동식품,즉석식품,편의점도시락,삼각김밥,커피,주스,두유,생수,탄산음료,소주,맥주,막걸리,김치찌개백반,된장찌개백반,비빔밥,해장국,돼지갈비(외식),삼겹살(외식),냉면,칼국수,자장면,짬뽕,김밥,떡볶이,치킨,햄버거,피자,커피(외식),기타음료(외식),소주(외식),맥주(외식),구내식당식사비,식품 이외,담배,남자하의,남자내의,여자하의,여자내의,티셔츠,유아동복,양말,운동화,상수도료,하수도료,공동주택관리비,쓰레기봉투료,전기료,도시가스,가전제품렌탈비,부엌용용구,세탁세제,섬유유연제,부엌용세제,소염진통제,조제약,건강기능식품,병원약품,생리대,마스크,외래진료비,한방진료비,약국조제료,치과진료비,휘발유,경유,도로통행료,도시철도료,시내버스료,택시료,택배이용료,휴대전화료,인터넷이용료,장난감,반려동물용품,영화관람료,온라인콘텐츠이용료,방송수신료,유치원납입금,전문대학납입금,사립대학교납입금,초등학생학원비,중학생학원비,고등학생학원비,가정학습지,목욕료,이발료,미용료,치약,샴푸,화장지,기초화장품,보험서비스료,자동차보험료,전월세,생활물가 이외,전·월세포함 생활물가지수
"2015.01",94.643,94.605,87.806,86.179,-,95.681,97.147,82.737,87.280,74.267,90.063,88.175,110.477,103.006,-,99.115,48.160,80.862,83.535,94.739,92.971,100.066,87.177,116.962,93.793,81.690,68.789,79.042,76.734,36.214,95.013,77.435,91.180,133.685,51.619,50.869,81.270,90.870,116.954,110.964,104.372,105.281,82.568,67.199,58.228,84.018,-,102.036,96.850,99.405,93.153,112.907,96.593,90.815,-,-,88.434,-,-,105.161,103.564,-,90.500,87.678,82.431,91.408,-,88.685,88.629,88.984,88.598,88.879,87.521,-,87.555,84.435,82.593,76.222,81.900,89.974,91.620,99.119,95.059,-,80.325,89.700,83.358,98.620,100.000,95.175,98.111,92.469,94.204,94.362,97.466,100.659,95.061,93.861,62.111,77.033,87.583,116.261,136.791,-,89.929,121.760,125.267,100.816,89.569,106.477,-,107.713,101.103,-,88.849,92.030,85.339,93.790,108.908,111.904,-,87.270,86.116,85.499,-,108.792,99.920,91.733,-,85.094,94.442,100.500,92.736,100.236,102.438,92.555,90.880,89.192,94.463,87.008,93.094,90.651,90.532,131.410,102.045,99.251,61.093,90.137,95.045,94.655,94.682
"2015.02",94.587,94.586,88.419,85.517,-,95.662,97.477,82.861,87.542,74.855,91.944,86.751,109.139,104.177,-,99.633,47.906,80.756,84.253,94.767,92.962,99.804,84.117,112.516,98.070,82.466,69.331,79.042,88.692,38.918,77.752,77.585,92.775,124.544,52.002,50.767,94.125,91.141,120.222,135.592,134.082,126.225,90.412,74.409,58.402,85.643,-,102.026,96.430,100.906,93.346,112.326,96.525,90.270,-,-,88.629,-,-,104.596,105.473,-,90.482,89.702,82.465,91.233,-,88.997,88.780,89.308,88.831,89.013,88.002,-,87.696,84.735,82.886,76.516,82.294,89.974,93.266,99.119,95.299,-,80.317,89.727,83.567,98.226,100.000,95.175,97.835,92.469,93.996,94.362,97.466,100.247,95.148,94.461,62.559,79.453,87.583,116.261,136.779,-,91.881,127.972,122.516,101.501,89.641,106.393,-,107.605,101.438,-,88.849,92.030,85.339,93.790,103.689,106.992,-,87.270,86.116,85.499,-,108.792,99.920,92.334,-,85.094,94.442,100.500,92.736,100.236,102.438,92.629,91.211,89.345,94.463,87.051,93.140,90.788,97.916,124.305,101.035,99.430,61.093,90.137,95.150,94.494,94.673
"2015.03",94.596,94.699,88.383,84.965,-,95.710,96.944,82.953,87.699,74.252,91.043,84.424,109.907,104.032,-,101.654,48.611,79.948,84.667,94.710,92.859,98.405,86.160,116.636,98.930,81.548,73.755,79.042,86.045,45.877,62.020,56.147,78.367,91.590,54.028,50.617,103.226,90.173,115.986,99.753,122.393,95.919,85.680,77.451,63.709,87.828,-,100.187,96.670,100.475,93.190,112.001,97.647,90.943,-,-,89.019,-,-,105.758,103.134,-,90.373,91.121,82.639,91.215,-,89.211,88.958,89.524,89.010,88.924,88.145,-,88.084,84.624,82.903,76.562,82.613,89.974,93.733,99.119,95.375,-,80.431,90.017,86.639,98.423,100.000,95.175,97.933,92.469,94.072,94.362,97.466,100.237,95.961,94.508,63.503,79.692,87.583,116.261,125.338,-,89.054,126.101,131.249,101.705,89.749,106.393,-,107.605,100.535,-,88.849,92.030,85.339,93.790,109.083,111.522,-,87.270,86.116,85.499,-,108.792,99.920,92.709,-,85.265,94.442,100.500,100.452,100.236,102.325,92.517,91.579,89.695,94.463,87.086,93.543,90.943,92.855,126.057,102.086,100.105,61.093,90.137,95.304,94.295,94.796
"2015.04",94.625,94.605,88.152,84.838,-,95.080,96.750,83.036,87.472,73.408,89.394,85.675,109.191,103.545,-,99.905,46.478,80.087,84.346,94.767,88.705,98.832,82.005,117.108,99.722,78.524,73.755,79.042,87.952,52.700,58.583,49.816,75.177,76.539,53.549,52.324,121.109,90.435,112.695,87.309,89.103,80.082,85.680,70.076,70.183,90.545,-,101.609,98.793,98.334,91.642,111.800,97.930,91.188,-,-,88.238,-,-,105.151,106.805,-,90.400,88.600,82.656,91.729,-,88.979,89.056,89.694,89.153,88.816,88.225,-,88.128,85.198,83.457,76.609,82.755,90.244,93.733,99.119,95.356,-,80.610,90.207,87.212,98.403,100.000,95.175,98.140,92.469,94.176,94.362,97.466,100.699,95.351,94.508,63.767,79.485,87.885,116.261,125.350,-,91.163,120.744,124.046,99.734,89.993,106.138,-,107.380,101.347,-,88.849,92.030,85.339,93.790,109.017,110.747,-,87.270,86.116,85.499,-,108.792,99.920,92.719,-,85.265,94.442,100.500,100.452,100.236,102.325,92.890,92.066,89.713,94.463,87.016,93.422,91.134,93.977,128.703,103.250,99.857,60.625,90.137,95.496,94.484,94.739
"2015.05",94.890,94.832,89.023,85.059,-,95.328,97.050,83.019,87.691,72.897,87.941,93.878,106.400,103.088,-,99.604,44.994,81.425,84.270,94.815,91.704,99.882,83.328,117.063,99.722,77.819,73.755,106.700,96.185,73.715,59.311,53.824,71.096,58.538,58.616,65.862,121.522,89.766,110.851,68.492,85.111,53.510,75.160,86.750,77.231,91.368,-,101.162,103.328,99.345,92.112,111.822,97.939,91.270,-,-,87.786,-,-,105.570,105.358,-,90.845,91.745,82.481,91.775,-,88.962,88.985,89.793,89.099,88.789,88.234,-,88.163,85.455,83.725,76.632,83.057,90.263,93.733,99.119,96.016,-,80.749,90.207,87.247,98.256,100.000,97.343,98.239,91.705,93.968,94.362,97.505,100.418,96.194,94.803,64.493,79.843,88.010,116.261,115.278,-,91.605,115.363,128.178,101.460,90.020,106.138,-,107.380,100.160,-,88.849,92.030,85.339,93.790,111.616,112.733,-,87.270,86.116,85.499,-,108.792,99.920,92.756,-,85.265,94.442,100.500,100.452,100.236,102.325,93.048,92.149,89.749,94.511,87.051,93.422,91.198,88.616,125.861,103.662,100.542,60.625,90.137,95.678,94.835,94.958
"2015.06",94.909,94.993,89.076,84.693,-,95.519,96.924,83.019,87.629,73.570,87.326,99.535,102.437,104.115,-,98.683,44.557,81.221,84.134,94.796,93.027,99.134,86.838,114.531,99.722,77.827,73.755,89.848,96.372,80.272,54.404,59.424,63.331,47.513,71.080,64.834,89.794,90.652,112.570,55.822,71.057,46.756,63.448,108.797,76.456,93.453,-,101.579,101.746,99.314,92.766,112.751,98.076,91.970,-,-,88.283,-,-,105.360,101.697,-,90.890,88.491,82.581,91.729,-,89.006,89.030,89.901,89.198,89.165,88.964,-,88.287,85.601,83.817,77.289,83.996,90.263,93.733,99.119,95.911,-,81.475,90.596,87.247,98.482,100.000,97.343,98.545,91.705,94.167,94.362,97.505,100.538,96.010,95.184,65.298,79.724,88.010,116.261,115.278,-,91.844,115.201,127.339,103.759,90.164,106.138,-,107.380,100.769,-,88.849,92.030,85.339,93.790,114.335,114.872,-,87.270,86.116,85.499,-,108.792,99.920,92.709,-,85.265,94.442,100.500,100.452,100.236,102.325,93.178,92.214,89.758,94.511,87.200,93.431,91.207,96.619,109.114,103.909,99.271,60.625,90.137,95.850,94.598,95.119
"2015.07",95.080,94.984,89.103,85.008,-,95.137,96.866,83.094,87.227,75.614,87.665,97.409,102.582,103.306,-,94.094,46.098,81.547,84.650,94.815,92.990,96.559,86.050,111.289,99.722,78.199,73.755,83.375,94.733,74.622,64.662,79.980,59.706,45.795,87.070,64.720,69.982,91.069,111.409,62.119,65.365,52.244,58.481,100.443,88.064,105.334,-,102.198,101.065,101.306,93.245,113.221,98.135,92.088,-,-,89.338,-,-,104.000,103.249,-,90.936,89.232,83.013,92.206,-,89.033,89.056,89.910,89.368,89.693,89.758,-,88.154,85.815,83.893,77.467,84.205,90.308,93.733,99.119,95.911,-,81.010,90.659,87.282,98.452,100.000,97.343,98.890,91.705,93.996,94.362,97.505,100.116,94.596,95.584,65.476,79.875,88.694,108.848,115.461,-,92.581,112.973,124.761,103.411,90.281,106.138,-,107.380,102.169,-,88.849,92.030,85.339,93.790,114.029,113.759,-,98.036,93.133,85.499,-,108.792,99.920,95.290,-,85.462,94.442,100.540,100.452,100.236,102.325,93.280,92.214,89.956,94.511,87.234,93.843,90.697,102.532,114.676,102.591,99.162,60.589,90.137,96.013,95.024,95.138
"2015.08",95.213,95.079,89.609,84.931,-,95.500,96.973,83.110,87.358,78.346,88.966,96.497,101.680,103.731,-,86.675,46.333,81.784,84.861,94.796,93.092,95.655,86.330,114.925,99.722,89.939,73.755,90.442,95.864,74.265,91.708,121.135,70.310,63.275,76.926,65.622,67.554,90.689,115.656,72.140,59.944,64.999,58.823,98.484,97.931,108.221,-,102.005,99.534,102.057,90.205,113.355,98.144,91.088,-,-,87.697,-,-,103.487,106.511,-,90.945,89.440,83.021,92.151,-,89.113,89.083,90.090,89.609,89.997,89.963,-,88.110,86.064,84.078,77.738,84.515,90.308,93.733,99.119,95.911,-,81.010,90.659,87.282,98.305,100.000,97.343,98.653,91.705,94.157,94.362,97.505,100.548,96.165,95.584,66.552,80.042,89.806,108.848,115.620,-,92.554,112.915,123.910,103.207,90.579,105.767,-,107.058,102.575,-,88.849,92.030,85.339,93.790,111.889,110.136,-,98.036,93.627,85.499,-,108.792,99.920,95.112,-,85.462,94.442,100.540,100.452,100.236,102.315,93.318,92.241,90.109,94.511,87.383,94.012,91.089,105.416,133.444,103.137,98.725,60.589,90.137,96.176,95.233,95.243
"2015.09",94.966,94.984,89.636,85.279,-,95.557,96.827,83.252,87.481,81.822,88.832,96.104,98.567,103.130,-,85.293,47.517,82.119,84.726,94.767,94.918,95.227,80.920,103.094,101.914,75.840,73.755,90.442,97.308,68.427,78.138,107.276,75.529,49.647,58.444,67.131,67.399,90.119,116.533,64.500,60.766,66.249,71.520,94.914,105.431,109.615,-,101.416,100.995,99.735,91.578,112.851,98.037,91.070,-,-,89.356,-,-,103.937,107.361,-,90.945,91.663,83.071,91.922,-,89.113,89.163,90.009,90.020,90.095,90.194,-,88.490,86.407,84.455,77.923,85.018,90.308,93.733,99.119,95.710,-,82.201,90.487,87.906,98.147,100.000,97.343,98.900,91.705,94.044,94.362,97.505,100.307,99.913,95.584,66.822,79.620,89.806,108.848,120.229,-,93.392,109.670,118.446,103.156,90.561,105.524,-,106.833,100.444,-,88.849,92.030,85.339,93.790,109.290,106.294,-,98.036,93.627,85.499,-,108.792,99.920,95.290,-,85.744,94.442,100.540,100.452,100.236,102.335,93.318,92.241,90.109,96.414,87.461,94.012,91.089,91.035,115.815,102.663,99.132,60.589,90.137,96.311,94.645,95.186
